time,Despicable Me Minion Mayhem,ET Adventure,Fast & Furious - Supercharged,Harry Potter and the Escape from Gringotts,Hogwarts Express,Hollywood Rip Ride Rockit,MEN IN BLACK Alien Attack,Race Through New York Starring Jimmy Fallon,Revenge of the Mummy,TRANSFORMERS - The Ride 3D,The Simpsons Ride
18:50:00,44.77777778,24.72222222,25.84269663,63.18681319,37.52747253,60.625,30.40697674,16.61290323,36.36363636,38.43023256,25.86956522
18:55:00,44,24.88764045,24.88764045,62.58241758,36.73913043,61.46153846,29.66666667,16.55913978,36.33928571,37.27272727,25.97826087
19:00:00,42.91208791,24.44444444,24.28571429,63.16666667,37.04301075,61.89393939,29.26136364,16.66666667,36.69642857,36.79775281,25.43010753
19:05:00,41.85393258,23.98876404,23.79120879,62.61363636,36.08695652,61.953125,29.30232558,16.68478261,36.69642857,36.07954545,25.10869565
19:10:00,41.23595506,23.5,23.36956522,62.88888889,35.32258065,59.76190476,28.08988764,16.61290323,36.98275862,35.86206897,23.76344086
19:15:00,41.27777778,23.38888889,21.81318681,61.06741573,34.89247312,60.546875,26.62921348,16.72043011,36.86440678,34.42528736,23.5483871
19:20:00,41,23.44444444,21.15384615,60.88888889,34.13978495,62.69230769,26.13636364,16.4516129,35.84745763,34.09090909,22.95698925
19:25:00,42.55555556,22.94444444,21,60.27777778,33.70967742,61.76923077,25.90909091,16.39784946,35.32786885,33.48314607,22.47311828
19:30:00,42.77777778,22.5,20.66666667,59.21348315,32.74193548,60.76923077,25.56818182,16.23655914,34.3442623,32.66666667,22.25806452
19:35:00,42.11111111,21.96629213,19.89010989,58.75,32.52688172,62.34375,25.2247191,16.1827957,33.79032258,31.72222222,21.93548387
19:40:00,40.61111111,22.07865169,19.72826087,58.57954545,32.04301075,62.74193548,24.7752809,15.96774194,33.9516129,31.83333333,22.3655914
19:45:00,39.11111111,21.85393258,20,56.59090909,31.55913978,64.92307692,24.11111111,16.14130435,34.11290323,30.97826087,21.88172043
19:50:00,39.38202247,21.49425287,19.67032967,54.94252874,30.86956522,64.07692308,23.44827586,15.94444444,33.44262295,30.38888889,21.79347826
19:55:00,38.69565217,21.27777778,19.56521739,52.58426966,30.96774194,63.20895522,23.77777778,16.26373626,33.06451613,30.2173913,22.25806452
20:00:00,37.5,20.51724138,19.66666667,51.16666667,30.65217391,62.42424242,23.87640449,16.44444444,33.93442623,29.66666667,22.66304348
20:05:00,36.30434783,20.94117647,19.01098901,50.98901099,31.07526882,63.04347826,23.51648352,16.59340659,33.58333333,28.57142857,22.41935484
20:10:00,35.43956044,21.13095238,18.25842697,50.83333333,30.54347826,63.08823529,22.69230769,16.95652174,33.25,27.8021978,22.41935484
20:15:00,33.62637363,21.01190476,17.83333333,50.21978022,30.05434783,64.20289855,22.83333333,16.79347826,33.25,27.1978022,21.82795699
20:20:00,32.86516854,21.42857143,18.14606742,48.66666667,29.89010989,65.14925373,22.19101124,17.52747253,33.08333333,26.15384615,21.19565217
20:25:00,32.1978022,21.58823529,17.52747253,48.02197802,29.83516484,67.23880597,21.50537634,17.66304348,32.83333333,25.33333333,20.16129032
20:30:00,32.03296703,21.68604651,17.1978022,46.59340659,30,64.57746479,20.91397849,17.33695652,32.08333333,23.82022472,19.67741935
20:35:00,31.45348837,21.96428571,16.49425287,45.63953488,30,62.1969697,20.11494253,18.10344828,31.09090909,22.08333333,18.86363636
20:40:00,31.0326087,21.53409091,16.15384615,44.50549451,30.96774194,64.38356164,20.16304348,16.95652174,31.27118644,20.81521739,18.33333333
20:45:00,29.40217391,21.02272727,15.72222222,42.66304348,31.66666667,63.53333333,19.02173913,16.25,31.01694915,19.02173913,17.74193548
20:50:00,28.47826087,20.68181818,15.28735632,40.27173913,32.20430108,64.27631579,19.07608696,16.30434783,29.74576271,17.93478261,17.3655914
20:55:00,27.33695652,19.77011494,14.1011236,37.82608696,32.6344086,63.83561644,17.7173913,15.43478261,28.98305085,16.14130435,16.88172043
21:00:00,25.84745763,19.57627119,13.68852459,39.36507937,35.47619048,70,17.70491803,14.92307692,28.97435897,15.53846154,16.57407407
